Nome completo;CPF;Data de nascimento;Departamento;E-mail corporativo
Henrique Souza;433.218.196-43;03/01/1970;Tecnologia;henrique.souza@bcpsecurities.com
Patrícia Mendes;908.386.379-49;25/01/1985;Tecnologia;patricia.mendes@bcpsecurities.com
Igor Dias;423.511.615-05;09/10/1990;Trading & Mercados;igor.dias@bcpsecurities.com
Leandro Nascimento;618.495.931-08;08/11/1970;Operações;leandro.nascimento@bcpsecurities.com
Felipe Rocha;164.752.553-51;22/12/1985;Diretoria;felipe.rocha@bcpsecurities.com
Eduarda Fernandes;832.764.835-72;27/04/1971;Trading & Mercados;eduarda.fernandes@bcpsecurities.com
Carlos Brito;193.802.620-94;06/08/1993;Tecnologia;carlos.brito@bcpsecurities.com
Samuel Barbosa;969.653.287-38;28/01/1973;Trading & Mercados;samuel.barbosa@bcpsecurities.com
Rafael Fernandes;691.669.784-91;22/01/2003;Diretoria;rafael.fernandes@bcpsecurities.com
Henrique Teixeira;514.627.048-16;04/09/1979;Diretoria;henrique.teixeira@bcpsecurities.com
Wagner Mendes;932.528.809-54;01/08/1988;Trading & Mercados;wagner.mendes@bcpsecurities.com
Enzo Cardoso;303.911.718-10;22/03/1976;Compliance & Risco;enzo.cardoso@bcpsecurities.com
João Alves;400.499.154-44;18/11/1997;Operações;joao.alves@
Henrique Ribeiro;315.098.393-21;23/02/1968;Diretoria;henrique.ribeiro@bcpsecurities.com
Diego Rocha;105.183.473-20;24/03/2002;Pessoas & DHO;diego.rocha@bcpsecurities.com
Tatiana Moreira;376.311.656-70;28/08/1994;Diretoria;tatiana.moreira@bcpsecurities.com
Diego Almeida;065.133.387-35;06/07/1976;Operações;diego.almeida@bcpsecurities.com
Leandro Ribeiro;178.108.013-50;16/07/1978;Compliance & Risco;leandro.ribeiro@bcpsecurities.com
Otávio Pinheiro;026.064.746-27;23/11/2003;Compliance & Risco;otavio.pinheiro@bcpsecurities.com
Rafael Gomes;430.980.500-04;28/09/1998;Pessoas & DHO;rafael.gomes@bcpsecurities.com
Larissa Pereira;812.191.361-66;19/04/2004;Pessoas & DHO;larissa.pereira@bcpsecurities.com
Camila Rodrigues;699.854.353-03;05/07/1984;Diretoria;camila.rodrigues@bcpsecurities.com
Wagner Nunes;510.799.118-12;09/09/1981;Tecnologia;wagner.nunes@bcpsecurities.com
Daniela Costa;354.278.498-23;27/11/1968;Pessoas & DHO;daniela.costa@bcpsecurities.com
Wagner Almeida;241.182.449-18;11/12/1981;Tecnologia;wagner.almeida@bcpsecurities.com
Marina Pires;123.456.789-00;05/08/2001;Trading & Mercados;marina.pires@bcpsecurities.com
Juliana Cavalcanti;801.128.059-73;14/03/2003;Tecnologia;juliana.cavalcanti@bcpsecurities.com
Camila Cardoso;505.331.586-80;28/04/1977;Tecnologia;camila.cardoso@bcpsecurities.com
Marcos Azevedo;025.634.216-40;08/08/1970;Tecnologia;marcos.azevedo@bcpsecurities.com
Leandro Castro;433.036.541-31;21/06/1985;Pessoas & DHO;leandro.castro@bcpsecurities.com
Gustavo Dias;014.294.019-40;24/06/1995;Operações;gustavo.dias@bcpsecurities.com
Igor Mendes;169.340.608-06;24/11/2002;Diretoria;igor.mendes@bcpsecurities.com
Natália Campos;615.951.484-93;13/06/1994;Diretoria;natalia.campos@bcpsecurities.com
Vanessa Lima;366.299.468-20;10/05/1968;Tecnologia;vanessa.lima@bcpsecurities.com
Igor Correia;777.387.214-72;21/11/2000;Pessoas & DHO;igor.correia@bcpsecurities.com
Caio Rodrigues;343.320.037-80;14/08/1972;Diretoria;caio.rodrigues@bcpsecurities.com
Tatiana Gomes;676.320.163-09;17/12/1979;Compliance & Risco;tatiana.gomes@bcpsecurities.com
Carlos Brito;874.315.274-03;24/01/1979;Compliance & Risco;carlos.brito@bcpsecurities.com
Juliana Fernandes;774.348.734-26;23/02/1996;Operações;juliana.fernandes@bcpsecurities.com
Rodrigo Teixeira;558.122.362-91;14/02/1981;Compliance & Risco;rodrigo.teixeira@bcpsecurities.com
Caio Nunes;603.669.096-73;12/01/1998;Operações;caio.nunes@bcpsecurities.com
Fernanda Azevedo;889.373.467-29;11/07/1969;Diretoria;fernanda.azevedo@bcpsecurities.com
Gustavo Fernandes;729.806.990-04;14/11/1973;Tecnologia;gustavo.fernandes@bcpsecurities.com
Leandro Carvalho;046.537.556-12;09/07/1985;Trading & Mercados;leandro.carvalho@bcpsecurities.com
Mariana Souza;805.310.033-37;05/10/1969;Tecnologia;mariana.souza@bcpsecurities.com
Isabela Moreira;193.745.299-98;10/03/1975;Trading & Mercados;isabela.moreira@bcpsecurities.com
Vinícius Souza;496.631.931-58;20/11/1987;Trading & Mercados;vinicius.souza@bcpsecurities.com
Tatiana Oliveira;586.518.506-38;14/02/1999;Operações;tatiana.oliveira@bcpsecurities.com
Leandro Araújo;628.498.776-54;28/06/1985;Tecnologia;leandro.araujo@bcpsecurities.com
Felipe Teixeira;737.996.507-76;16/03/1988;Tecnologia;felipe.teixeira@bcpsecurities.com
Daniela Barbosa;549.480.831-94;14/12/1983;Compliance & Risco;daniela.barbosa@bcpsecurities.com
Samuel Ribeiro;777.014.363-24;19/11/1987;Operações;samuel.ribeiro@bcpsecurities.com
Mariana Vieira;568.557.444-43;24/02/1982;Tecnologia;mariana.vieira@bcpsecurities.com
Beatriz Nascimento;823.374.989-30;27/02/1986;Tecnologia;beatriz.nascimento@bcpsecurities.com
Vanessa Rocha;524.082.400-26;23/05/2003;Tecnologia;vanessa.rocha@bcpsecurities.com
Nicolas Almeida;094.777.520-02;04/08/1984;Trading & Mercados;nicolas.almeida@bcpsecurities.com
Gustavo Ramos;190.229.413-02;25/09/1975;Compliance & Risco;gustavo.ramos@bcpsecurities.com
Yara Rocha;867.749.649-15;24/10/1971;Trading & Mercados;yara.rocha@bcpsecurities.com
Otávio Martins;412.328.120-64;23/08/1994;Pessoas & DHO;otavio.martins@bcpsecurities.com
Mariana Moraes;034.471.349-09;04/07/1980;Pessoas & DHO;mariana.moraes@bcpsecurities.com
Patrícia Araújo;421.024.994-72;15/02/1996;Diretoria;patricia.araujo@bcpsecurities.com
Wagner Pinheiro;488.771.906-04;09/10/1988;Trading & Mercados;wagner.pinheiro@bcpsecurities.com
Tatiana Souza;490.278.742-39;27/11/1995;Compliance & Risco;tatiana.souza@bcpsecurities.com
Felipe Moreira;565.512.567-67;13/11/1986;Pessoas & DHO;felipe.moreira@bcpsecurities.com
Camila Nunes;154.516.808-33;02/07/1997;Tecnologia;camila.nunes@bcpsecurities.com
Paulo Campos;977.034.824-47;16/12/1996;Trading & Mercados;paulo.campos@bcpsecurities.com
Bruno Ribeiro;248.086.131-74;21/02/1997;Tecnologia;bruno.ribeiro@bcpsecurities.com
Nicolas Moraes;846.773.782-40;20/04/1992;Pessoas & DHO;nicolas.moraes@bcpsecurities.com
Isabela Costa;465.840.449-47;15/03/1999;Pessoas & DHO;isabela.costa@bcpsecurities.com
Mariana Castro;588.675.339-75;28/04/1992;Compliance & Risco;mariana.castro@bcpsecurities.com
Camila Correia;766.270.289-80;28/02/1989;Compliance & Risco;camila.correia@bcpsecurities.com
Gabriela Vieira;702.621.745-37;03/11/1993;Operações;gabriela.vieira@bcpsecurities.com
Renata Freitas;578.091.343-96;04/07/1973;Diretoria;renata.freitas@bcpsecurities.com
Gabriela Monteiro;240.050.455-53;08/03/1995;Pessoas & DHO;gabriela.monteiro@bcpsecurities.com
Helena Carvalho;221.969.379-16;15/04/1977;Diretoria;helena.carvalho@bcpsecurities.com
Sofia Nunes;407.482.175-33;14/11/1987;Diretoria;sofia.nunes@bcpsecurities.com
Wagner Gomes;671.369.594-97;27/01/1986;Diretoria;wagner.gomes@bcpsecurities.com
